poem,gpt_lp
"по свету куплеты калейдоскопа 
 слышишь энергии спасенья картины epitaph предвестник 
 напившись вдоволь сказки звери окопа 
 ветвями безмерность и везде вестник",-7.19811487197876
"и люди можно на как произошло 
 и показал как можно решает и пациентом 
 и теперь там повезло 
 и обо что ингредиентом",-7.198214530944824
"под глазами струна какая субъективен 
 в груди была дорога в сединах 
 к людям скажет я не противен 
 но милосердность у того кто кончится вакцинах",-7.210506916046143
"вот так весна лежит на лихолетьем 
 и после дождя и вступило 
 стала пришли гуляет и сама о третьем 
 разлива и уносит не прибыль наступило",-7.212083339691162
"с ветвей берез на орешник в мертвецу 
 ковром и грусти моросит 
 покров после туч уходит осень колосьев чтецу 
 сейчас вокруг цветут г щемящим огласит",-7.217928409576416
"торжественно и хороши и она противны 
 мечтою не добраться ко мне с вспороть 
 ним сегодня в сердце дивны 
 иконы охладел как перебороть",-7.230855941772461
"и память идет двуногим 
 за мосты из грязи и изощрён 
 светлой лжи за всё за длинноногим 
 свободу отчизне и сотворён",-7.232600688934326
"медовых прижавшись рассвета в ложе нежной скоростная 
 в море снов золотистая капають 
 на грудь свою гоняет ручная 
 с утра была по стопам танцюють",-7.234009742736816
"всюду образ чудес в стране и отдышишься 
 от солнца бывало а на столе 
 так и мирно облако сыплется надышишься 
 незаметно конец души жара біле",-7.249241828918457
"это дождик спят перламутром он к спирте 
 душе ведёт ведут и обратно словно репортаж 
 только как туда там в флирте 
 рёв нежностью стали держусь ажиотаж",-7.251217365264893
"запястий руки с машинки 
 цветка холод проблем мы бы поднадоело 
 по лету и на кувшинки 
 в тебе её наелись смело",-7.259035587310791
"готовят ждут веду героя по преломленье 
 ко всем америка пьяны и ко журчаньем 
 тоске имени в подтвержденье 
 мало быть любви изгнали до знаньем",-7.2644147872924805
"другими нам не успеть стразы 
 в духе святом надо со сутьбах 
 жить здоровья в вашей крови и заразы 
 в прошедшем дне и свет мыслить взобах",-7.2761549949646
"природа лаской затих под водою разводы обоями 
 все вдоль реки линий лилий небосвод устранение 
 глубин веков красками лишь прибоями 
 над землёй для жизни эмоции на единение",-7.2784905433654785
"пусть плачет в прозрачность 
 помощь поведать пою сохранит о вечном 
 света что дружно шли мимо и невзрачность 
 уместили все цветы в самом вековечном",-7.281637668609619
"крону стужу октябрь то таблетки 
 то светлячки в поле жгучий загаре 
 в лесу перед малолетки 
 расскажут звуки волшебным призрак из зимней портсигаре",-7.297900676727295
"метёт на душе и разве восстают 
 всё устала я на сердце понятней 
 до сих пор отдают 
 дом какие обманом на нём будут приятней",-7.3059515953063965
"понимаю заботы нет сгинь 
 друг друга ни речью ни калики 
 такой одним прощенья но мы и богинь 
 жизни моею эти лики",-7.308997631072998
"тот тополиный город что окрест зимой ярлычками 
 шли в ладонь и туй 
 равны в дальний мостками 
 века и с любовью исключат забинтуй",-7.309286117553711
"тебя в твоих самом стуков 
 руке и ночь моя замер не стерпеть 
 господне будет цель с лёгкостью акведуков 
 вычеркнуть твой путь даря всем моим воспеть",-7.309286594390869
"мгновенья в дорогу сообщения но застигнут 
 сошел как рюкзак несмеяну 
 прощальный дом чтоб воздвигнут 
 не вперед вперед вперед к всей пьяну",-7.3216352462768555
"вместе все хорошо внезапно возвратить 
 нежность а счастье когда покручу 
 в глазах юности отраженье посетить 
 волшебства бога в мире сказок полюбуюсь помолчу",-7.3272600173950195
"и жизнь живая и переплелись 
 убегал ведь очень он отобразился 
 лучший в плену вы прост прошлись 
 есть рыцарь и преобразился",-7.327857971191406
"манит а то у граю 
 дорожку а к ногам то на оглашается 
 вуаль когда падаю в замираю 
 деревьев фонарь то это знала кружит нарушается",-7.332972526550293
"долго не вышло а в облаке 
 их видит планы по друг другу алхимией 
 нет за честность что за острове 
 будет подобие мы встаньте родине тусует химией",-7.333212852478027
"место а мы ценить вскоре посудите 
 новые слова молитвы на смех дублёры 
 солнца след ручей нечисть приидите 
 всё возможно безжалостно освещаются кроткие на фуникулёры",-7.346346378326416
"говорят не дам нет тяжёлым я упавшим 
 я вам не мастак 
 то с ложью гляжу на опавшим 
 поэтому как юная такой пятак",-7.355397701263428
"где так были проживая 
 меня грустит местами ты будешь у медуницей 
 после от меня ласково запивая 
 как у церкви я вам урок вещицей",-7.364357948303223
"всё ж ты читаешь сніцца 
 дня а это ближе духом что супы 
 дал твой тогда сочтены христовой гордеца 
 с верой зарумянил грядки столпы",-7.364919185638428
"и у светлой сентябрьской 
 к тебе и печаль унций 
 мне ярче утро ни в этой октябрьской 
 не останусь не остро ёлочный",-7.366827964782715
"живём мы о запечатли 
 мечтах о чем ближней 
 лете и хоть такой красоты такой петли 
 не ждут восхищался зацвёл нижней",-7.36736536026001
"но сколько страсти в объятиях сумбурный 
 ты потерял потом той тем что благословляешь 
 значит и по тебе стена бурный 
 всей тропинке тучка с бездонных ваяешь",-7.367450714111328
"грехе лире ни мечу 
 ни обиды пошли приютом 
 пусть будет в ветер но не калечу 
 мои югра моя любовь как понимание парашютом",-7.385794639587402
"же христа качели зевая 
 с сном пространства поставить только август плененный 
 ивы ушедшей деревьев ветви деревья многовековая 
 гладит дожди узор шлёт под вечер листопадный",-7.395317077636719
"стал своим т нашёптывал 
 почему не бес не гранита 
 к себе эти маски добродетель ведь выстукивал 
 сполна ведь плохо зенита",-7.4011077880859375
"хорошо господь спаси меня однообразия 
 от того чтоб чувства пробовать 
 в твоих бесконечность чудных рук твою фантазия 
 звуки раздолье море листьев и закрашивать",-7.403496265411377
"стучит и смерть и от веле 
 лижет тиски и бежит и утром колоколах 
 разноцветьем серебром а в мае желе 
 года валерия его художник передает цветов волах",-7.407071590423584
"в реальность слова не беспардонно 
 и с этой доведут 
 покоя никак не помочь стал рифмой бездонно 
 на душе ближе холодно бредут",-7.40888786315918
"жизни и есть себе глазастых 
 и открыто мы те что чающий 
 чтоб не могут друга не вихрастых 
 их груз не скучающий",-7.41347599029541
"все живут счастливой и настапит 
 с собой наших креста и горестных далась 
 вольный но нега да и потрепит 
 считая что ты понеслась",-7.415268898010254
"душу манит от язвится 
 ложиться не зная что перед ней коренные 
 я и куда змеится 
 наш труд оставь на ручные",-7.4189534187316895
"одинок жить на срыве 
 что не хочешь умолить 
 тоска прикоснуться на обрыве 
 когда богатства хватает мне рулить",-7.41989278793335
"лист сверкает листочки как пляска 
 мечтами как плод отмолиться 
 щемит и кажется коляска 
 воды две шагнув не пылиться",-7.44162654876709
"я гляжу в твою душу проспала 
 знаю что стало ещё я иду незнанье 
 чудо вот лето светла 
 твоих руках за милый назиданье",-7.446526050567627
"теперь стояла за ним как будто незнакомцы 
 потоком и чужими ругаешь 
 голосом никого не видя питомцы 
 с жінка внезапно зелёная просыпайтесь начистит испугаешь",-7.452288627624512
"реки пусть листву в кофе неброски 
 песке от меня песчанный 
 шёпот мой вид наброски 
 в царстве домов взращенный",-7.4540910720825195
"зима ночами телега преисполнит 
 то вот и песню к окну запрокидывая 
 роза диво побеги придёт и исполнит 
 наступил отдых весна так же распихивая",-7.4551682472229
"волна меж рекой общероссийских 
 в году ной мне красной бессоницы 
 на д на российских 
 пути березкой и малиновым неровным а медведицы",-7.455406188964844
"своим здесь второй вы зверь безмерно литургия 
 ними не жди того недалёко 
 всё ж не унывай панагия 
 же утром так как способен быть далёко",-7.463581562042236
"стало зима уже в берег зміг 
 лето морозный в перепад 
 трава осень скрипит под міг 
 под небом землей звездопад",-7.465468883514404
"отвечать но в этом стране неласково 
 великий бит все деды и коридоры 
 твою естество прощенья ласково 
 час высшим и раздоры",-7.466270923614502
"и в сердце наполняет чей взгляд време 
 может там бог навстречу шарма 
 а сам себя в тандеме 
 стал пожар мой казарма",-7.474185466766357
"усталости зов дней от страстей изначальную 
 от невзгод и перебив 
 тех в конце матерей перст печальную 
 неужто фундаментом иногда будет лире влюблённость употребив",-7.480081081390381
"ручьём бегут сумрак гром не вскружится 
 теперь же возьмёт вгуст 
 конечно же устремится на мудрая закружится 
 знает последним будет жить их густ",-7.48025369644165
"полная луна как природа запоют подгоняет 
 войдёт душам ласкает светла разрезая потолкаться 
 светом облаков дрожит в ладони своды дополняет 
 груда зарплаты милости светится твореньем кувыркаться",-7.491308689117432
"и неделимы где все иначе любимые непокорная 
 и сейчас к семье устремление 
 вечный в мир покорная 
 ждет ну значит ты избавиться от становление",-7.492887020111084
"и сила надежда светом с пестреющем 
 мила она развела и мне обливаясь 
 нелепый смех на зреющем 
 и видел славянский нежностью годы переливаясь",-7.4949188232421875
"нам с благодарностью благолепии 
 уж с кем в жизни можно страдать 
 зачем люди на великолепии 
 нас можно всех вместе готово продать",-7.500956058502197
"честь и народ пытался я откликаться 
 его грипп и на маюсь 
 как вон из непогоды в вечный пререкаться 
 мотив дал полуденный мокрый обнимаюсь",-7.5041985511779785
"в ней своей безмерным 
 это не было примирия 
 много лет уже у меня лицемерным 
 мало да те эти евпатория",-7.504404544830322
"печали когда была тебя я выше укрепляю 
 и перо я здесь иегова бровями 
 но снег и февраль которые пахнет направляю 
 как это звёзды звеня мёд червями",-7.508252143859863
"вот берёзы во всем нам орбита 
 райский сад то умрёт низы 
 боль не узнает пробита 
 день день отравления лінзы",-7.510457992553711
"нами силой и потом время что выручало 
 мне дано пусть мне видится во мраке 
 но мир будь подзаебало 
 поиграться пусть каждый был одной буераке",-7.511599540710449
"ветром и летом но сорвёмся 
 тёплый облака глазами дождей но не останавливает 
 вот тут все рвёмся 
 лениво и песок село и небо потрясает",-7.521645545959473
"ночная нам в ад как будто легчайших 
 люди как ставни в гнут коврам 
 мир реже всю грубо молоко сладчайших 
 было просыпаясь в душу сладко державным поварам",-7.521943092346191
"верной быть мнение доедал 
 тебе же мне и прости что проживу 
 по колено чуть не освобождал 
 твой поезд уж деревья вожжи под прослыву",-7.557768821716309
"те шепни что проснулись легко всех занесли 
 и моё ложь рецензия на слово доверенным 
 небесный мой друг в лицо цвіли 
 то что в жизни есть вверенным",-7.558067321777344
"крики птиц и тихо шурша идут отстучит 
 снежные дали что лишь не умолит 
 от надежды что в смолчит 
 душа кого буквально продолжение болезни молит",-7.560451984405518
"утро и с богом преподобныхъ 
 лист с нежностью согреться и чёткой 
 в воздухе деревья ароматом лживыхъ 
 там вселенная среди осени страстей щёткой",-7.562821388244629
"просто нечего улететь спасибо за ясностью 
 край думал о керамикой 
 где другу укроет город я где оттепелью 
 пишешь дом где послевкусие после динамикой",-7.564011573791504
"нежности но пусть обет глагол 
 терплю встречи стоят любя безликая 
 небо в твою ладонь я моя щегол 
 дарю поскорей друг друга наконец своё дикая",-7.572991847991943
"откроет теплоту николая это странник в стиле 
 за окном моей слова от жестком 
 истоки убитых русской жизни водевиле 
 моё красою и п ярости хлебушком",-7.577062129974365
"ты остался в саду плоды и карабин 
 сердце сердце как поберёг 
 война чтоб любить всех без глубин 
 всегда молиться ведает сам бог судьба берёг",-7.58271598815918
"наверное ну а другие фотки 
 кому идём денег хотят видали кого пускаем 
 вперед не жалея испытаний искренне всем наработки 
 скорей моя строками спешу потираем",-7.586798667907715
"на всей песне он причитал 
 казалось нам что погаснуть 
 бывают только за стихи родные возроптал 
 потом дадут винсент гаснуть",-7.60176944732666
"рад средь травы чайки рубца 
 леса а в небесах темнотою 
 и вспоминай дней различных сша в ловца 
 былом остались о его писала клеветою",-7.602745056152344
"и рвёт снегом повсюду и тулуп 
 ненавижу я сердце самотёртого 
 и значит я дарю привычный суп 
 на благо всем пространственного",-7.603246212005615
"снова глубоко были в мозгах не невольно 
 его тон не согрешу 
 вначале и оплот привольно 
 будет божий свет подышу",-7.604828357696533
"сад такой скоро куплена 
 придет рай очистит от прегрешений 
 доброе лето так искуплена 
 нас всегда и багажом совершений",-7.608530521392822
"я в темноте на флейте 
 куда ж так сделалсь 
 мать я напрасно не жалейте 
 благодарность ставят по утрам от голода влилсь",-7.613836288452148
"увы твоя лежал и наших и палантине 
 врагам на землю дарит избавленья 
 бог нам ищем мы тине 
 пилоты теплу нам самосохраненья",-7.614757537841797
"гроздья порывом в окно под землю преобретает 
 дождём ложится травы по тонким шарахнул 
 в вальсе иней ель с распивает 
 вдаль девушка за друзья уже трахнул",-7.634158611297607
"душа рецензия к дрочи 
 поют река смиренье стонет лето вспаханы 
 солнца луч игра в небесные ночи 
 тот час его распаханы",-7.635551929473877
"почки почки белые цветы сентябри 
 назад фруктов листья синиц и зелёный цвет 
 нечем и мне противно декабрь отри 
 а и поймёт и полусвет",-7.647086143493652
"в прошлое пороки и теледураков 
 дает нам всем всем гвозде 
 не зря есть ты недоумков 
 всех скажет но кто всегда туда где",-7.648791313171387
"поспеши богородица в себе зло ему резон 
 и мой бог будешь ты себе подтвердите 
 за пустое нельзя диапазон 
 но там земля нам бояться погодите",-7.659990310668945
"ты мне бродили с певуньей 
 солнца пут рябины и поздравляет 
 на холодной травах в снежных горбуньей 
 поля россыпи и течет октябрь умаляет",-7.665695667266846
"луной и летом своим косовица 
 в глаза твои собирая эвксинских 
 плен маме будешь грозу чтоб ты львица 
 ней всегда был ликийских",-7.666157245635986
"что там не сущая 
 блаженства у святых оплату 
 домой к себе несущая 
 для разлуки твою свою неуплату",-7.667322635650635
"луч за облаками припасами 
 бумаги суть и в куполах 
 каждый день пусть запасами 
 плачут бьются за чудная столах",-7.669309139251709
"товарищей две чёрных набекрень мимо перчаткой 
 сарай люди от дождя хотя не созиданьем 
 праздник я буду послепутинской 
 во имя моё какая мельтешеньем",-7.67070198059082
"явился и день уличные 
 вспомнит годы и кто в глаза залезет 
 друг друга для всех прекрасных точка юбочке 
 в словах не будет помнить еще лезет",-7.6771087646484375
"может быть счастливой и породит 
 ты любишь хочешь но если соблюдаешь 
 по крови потом освободит 
 быть полдень туп и убеждаешь",-7.677242279052734
"и идут с страхом воссоздана 
 надеждой и верою в гармонии заря обоям 
 и слово который создана 
 и в чувствах туда к героям",-7.679534912109375
"никогда не права куда стынуть 
 тишину только далёк и жертвы мы паутинок 
 не то оно и неизменно бог остынуть 
 даст нам по жизни по ботинок",-7.681255340576172
"в дверь ипостась я в ответ вписалась 
 строй свой из тупыми 
 для меня зимушка под чесалась 
 и пускай все огоньки слепыми",-7.689639568328857
"чтоб звездой под батюшкой небом богам желтой 
 мудростью вершины высота и мир с нестойко 
 пути небесным обратив из пупырчатой 
 ног твоих месть и иван бойко",-7.695860862731934
"добраться ли голос добавляя 
 на двоих каким же еще присядьте 
 ответ но чувств благословляя 
 с ними так не сядьте",-7.697925090789795
"рисует шумный смотрит вечер увяданье малыши 
 страдал мир уходит в занавешено 
 класс свои и лиши 
 волновать сами не повешено",-7.715469837188721
"и через тьму водрузил 
 сердце обиды свои глаза пел лимфоузлы 
 о днях тобою где вообразил 
 с тобою мы козлы",-7.719297409057617
"хотя земля проснусь возможны 
 с утра на плечи бездыханный 
 волшебством ночь со мною невозможны 
 ночи сможет позволит фото цветастый благоуханный",-7.722008228302002
"от свежести ночи и как такте 
 и такая как можно можем беречь 
 в жару выйти обязаны на контакте 
 ну просто пора не предостеречь",-7.725787162780762
"в тишину стремится клеопатры 
 лес полотно а в травах лёг линяющий 
 след и не видя ловлю политры 
 нежно все так прости лист роняющий",-7.7261061668396
"возвращается тихо в затылок небо врываясь 
 ягод мыслей розы ты удивительно божественным 
 взором близ белых омута переливаясь 
 фигура в словах торжественным",-7.728763580322266
"внутри тебя спрятаться без благоденствуют 
 молча уста мои демоны не продувает 
 на себя мы славные славянские нас блаженствуют 
 как высший все вручает",-7.731595993041992
"сосны и рябь а мы распорядиться 
 ней снова звезды звенящая тропинка косыми 
 севера в эти наряд вниз осенний отгородиться 
 вдаль девушка ты непременно молчишь огни босыми",-7.736000061035156
"и я превращу в любовного раввину 
 не жаль уж возможны 
 лет я сейчас и отодвину 
 что стоит только арена невозможны",-7.739983558654785
"равно бог нам нечёткий 
 станет пить иль помощь и непогрешимой 
 тяжело они её быть грешник чёткий 
 внимая и дороже грядущий зверь истину нерушимой",-7.74135684967041
"не по свету но командир 
 порогу путь не наслаждаются 
 снежной кружевные берия ли ли ночи мундир 
 но роза зовет к себе кидаются",-7.744271755218506
"никому больше не знаю я современно 
 твой там вокруг меня приходит откровенны 
 и возможно снова я неизменно 
 и от горя я встречу музы вдохновенны",-7.747461318969727
"болит теперь я в эфире а лога 
 что потом виноваты без приозёрным 
 дела кому странно безумным сокровище россии ворога 
 настал ты везде с светлым чёрным",-7.7532477378845215
"хотят идут бурлит мольбы в лесу тигрята 
 тот сущий не спокойненько 
 следом приходит восторг и стихи несут зверята 
 бирюза чтоб зовут любовью крутько",-7.7538933753967285
"их часто красивая и песнь прощая шепотком 
 рожая бразды то не ровность 
 что не свободой спасибо тебе родником 
 идём то что кончится ветром духовность",-7.7576518058776855
"вас ситом грязным лёгкий под теплым сенью 
 вам пусть будет этот поцелуй душевное влезть 
 всем сердцем слезу помолился во имя воскресенью 
 страданий пусть благодаря он терновому пролезть",-7.7609357833862305
"листьев погода дождь её прелестною 
 и ласковый страх ему стало капотни 
 в сгоревшей неге и ком едва крестною 
 накроет снежной белоснежной слоем выросли птичьи перстни",-7.76153039932251
"в объятиях твоих заполнен 
 тёмной серых капли к тебе я строжит 
 иголки окно напротив видя ночь переполнен 
 в горечь свет думы нежит",-7.762949466705322
"вами радовались вдвоём выше хуторской 
 подумать о боге и сколько к коленям 
 мне придётся жить поймать какой 
 глядеть чтобы друг другом не вернусь оленям",-7.770466327667236
"они идти с локоны 
 мужем в пути и самому недовольному 
 сурово жизни в темноте руки в коконы 
 вкусив новой уста в этой реку крамольному",-7.770658016204834
"благую колокола он за необарокко 
 спиной оградит от бед вдыхая разговаривая 
 принимая лик вездесущий выбирай имя просекко 
 судьба от новой приговаривая",-7.773071765899658
"время года у слияньем 
 забытое иисуса средь совести своевольный 
 и нету зимы ручьем 
 рад бог есть добрый час довольный",-7.7733283042907715
"ноябрь в покрывало услужить 
 в плен всё будем же только караганде 
 чему одно без причины стать ворожить 
 сказок и в тренде",-7.780609607696533
"полицейский дай слово причастной 
 один поэт божий не вечны 
 ах велика любовь и вечной несчастной 
 на город среди леса бесчеловечны",-7.790830612182617
"превратился в путь поэтому он снежная 
 кто союз не чуял 
 неважно ибо нам принимая меч веру нежная 
 но от смерти полно смиреньем учуял",-7.798611640930176
"свои неудачи пусть радостно томится отец пожухлых 
 тебе придавала когда сущность и степью 
 мир в этой жизни содержание потомкам жухлых 
 их здесь милей жертва войну цепью",-7.7993974685668945
"стук что не может холод волнение врачевство 
 со мной исходит славы молись 
 сне стучит и морозный обжёрство 
 внизу и хмель того кто не злись",-7.803813934326172
"песня я свой крест над рекой скромные 
 несмелой ветром ко подарила истекало 
 взглядом горсть хризантем укромные 
 тоски листьями на душный пахнет ножками протекало",-7.807057857513428
"я смотрю в даль покрывает 
 светлый путь и я диво угольный 
 но душа благодати затвердевает 
 пыл медленно а взгляд с передавая распорошеный",-7.807094097137451
"первых божественных детьми и булыжник 
 стихи создал для грешней 
 чтоб пушкин был счастливым стал и кочедыжник 
 такую истину связать но улыбкой жирней",-7.813159465789795
